go_id	description
GO:0043226	organelle
GO:0030976	thiamine pyrophosphate binding
GO:0060249	anatomical structure homeostasis
GO:0016471	vacuolar proton-transporting V-type ATPase complex
GO:0071669	plant-type cell wall organization or biogenesis
GO:0016303	1-phosphatidylinositol-3-kinase activity
GO:0035251	UDP-glucosyltransferase activity
GO:0016301	kinase activity
GO:0016307	phosphatidylinositol phosphate kinase activity
GO:0009085	lysine biosynthetic process
GO:0006189	'de novo' IMP biosynthetic process
GO:0006188	IMP biosynthetic process
GO:0034654	nucleobase, nucleoside, nucleotide and nucleic acid biosynthetic process
GO:0006183	GTP biosynthetic process
GO:0051603	proteolysis involved in cellular protein catabolic process
GO:0051604	protein maturation
GO:0051605	protein maturation by peptide bond cleavage
GO:0009081	branched chain family amino acid metabolic process
GO:0010038	response to metal ion
GO:0006213	pyrimidine nucleoside metabolic process
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain
GO:0033179	proton-transporting V-type ATPase, V0 domain
GO:0044444	cytoplasmic part
GO:0044445	cytosolic part
GO:0033170	protein-DNA loading ATPase activity
GO:0003715	transcription termination factor activity
GO:0044448	cell cortex part
GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain
GO:0006434	seryl-tRNA aminoacylation
GO:0006546	glycine catabolic process
GO:0006433	prolyl-tRNA aminoacylation
GO:0006432	phenylalanyl-tRNA aminoacylation
GO:0035437	maintenance of protein localization in endoplasmic reticulum
GO:0003713	transcription coactivator activity
GO:0030154	cell differentiation
GO:0046174	polyol catabolic process
GO:0004174	electron-transferring-flavoprotein dehydrogenase activity
GO:0030151	molybdenum ion binding
GO:0030150	protein import into mitochondrial matrix
GO:0015833	peptide transport
GO:0006542	glutamine biosynthetic process
GO:0042277	peptide binding
GO:0005639	integral to nuclear inner membrane
GO:0005634	nucleus
GO:0042278	purine nucleoside metabolic process
GO:0005984	disaccharide metabolic process
GO:0005985	sucrose metabolic process
GO:0005986	sucrose biosynthetic process
GO:0006505	GPI anchor metabolic process
GO:0003755	peptidyl-prolyl cis-trans isomerase activity
GO:0006506	GPI anchor biosynthetic process
GO:0006508	proteolysis
GO:0006729	tetrahydrobiopterin biosynthetic process
GO:0016070	RNA metabolic process
GO:0000213	tRNA-intron endonuclease activity
GO:0006720	isoprenoid metabolic process
GO:0009987	cellular process
GO:0006725	cellular aromatic compound metabolic process
GO:0009982	pseudouridine synthase activity
GO:0030554	adenyl nucleotide binding
GO:0005742	mitochondrial outer membrane translocase complex
GO:0022832	voltage-gated channel activity
GO:0005740	mitochondrial envelope
GO:0005741	mitochondrial outer membrane
GO:0005746	mitochondrial respiratory chain
GO:0022836	gated channel activity
GO:0005744	mitochondrial inner membrane presequence translocase complex
GO:0022834	ligand-gated channel activity
GO:0022838	substrate-specific channel activity
GO:0009186	deoxyribonucleoside diphosphate metabolic process
GO:0009187	cyclic nucleotide metabolic process
GO:0031968	organelle outer membrane
GO:0008124	4-alpha-hydroxytetrahydrobiopterin dehydratase activity
GO:0008121	ubiquinol-cytochrome-c reductase activity
GO:0009435	NAD biosynthetic process
GO:0016775	phosphotransferase activity, nitrogenous group as acceptor
GO:0000105	histidine biosynthetic process
GO:0000104	succinate dehydrogenase activity
GO:0000103	sulfate assimilation
GO:0009439	cyanate metabolic process
GO:0004348	glucosylceramidase activity
GO:0004345	glucose-6-phosphate dehydrogenase activity
GO:0004347	glucose-6-phosphate isomerase activity
GO:0010557	positive regulation of macromolecule biosynthetic process
GO:0016671	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
GO:0016676	oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor
GO:0006857	oligopeptide transport
GO:0006855	drug transmembrane transport
GO:0007585	respiratory gaseous exchange
GO:0000313	organellar ribosome
GO:0051174	regulation of phosphorus metabolic process
GO:0016879	ligase activity, forming carbon-nitrogen bonds
GO:0009058	biosynthetic process
GO:0009536	plastid
GO:0001539	ciliary or flagellar motility
GO:0051171	regulation of nitrogen compound metabolic process
GO:0051172	negative regulation of nitrogen compound metabolic process
GO:0051173	positive regulation of nitrogen compound metabolic process
GO:0009052	pentose-phosphate shunt, non-oxidative branch
GO:0016872	intramolecular lyase activity
GO:0070925	organelle assembly
GO:0009056	catabolic process
GO:0009505	plant-type cell wall
GO:0046943	carboxylic acid transmembrane transporter activity
GO:0046942	carboxylic acid transport
GO:0010558	negative regulation of macromolecule biosynthetic process
GO:0004765	shikimate kinase activity
GO:0004764	shikimate 5-dehydrogenase activity
GO:0018377	protein myristoylation
GO:0004019	adenylosuccinate synthase activity
GO:0004018	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity
GO:0016849	phosphorus-oxygen lyase activity
GO:0004013	adenosylhomocysteinase activity
GO:0004014	adenosylmethionine decarboxylase activity
GO:0004017	adenylate kinase activity
GO:0004016	adenylate cyclase activity
GO:0005496	steroid binding
GO:0003917	DNA topoisomerase type I activity
GO:0003916	DNA topoisomerase activity
GO:0008270	zinc ion binding
GO:0003913	DNA photolyase activity
GO:0003919	FMN adenylyltransferase activity
GO:0003918	DNA topoisomerase (ATP-hydrolyzing) activity
GO:0045300	acyl-[acyl-carrier-protein] desaturase activity
GO:0070727	cellular macromolecule localization
GO:0018196	peptidyl-asparagine modification
GO:0009611	response to wounding
GO:0018193	peptidyl-amino acid modification
GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
GO:0003880	protein C-terminal carboxyl O-methyltransferase activity
GO:0032784	regulation of transcription elongation, DNA-dependent
GO:0032786	positive regulation of transcription elongation, DNA-dependent
GO:0032787	monocarboxylic acid metabolic process
GO:0008479	queuine tRNA-ribosyltransferase activity
GO:0008474	palmitoyl-(protein) hydrolase activity
GO:0043648	dicarboxylic acid metabolic process
GO:0070589	cellular component macromolecule biosynthetic process
GO:0043647	inositol phosphate metabolic process
GO:0018279	protein N-linked glycosylation via asparagine
GO:0070035	purine NTP-dependent helicase activity
GO:0032940	secretion by cell
GO:0019932	second-messenger-mediated signaling
GO:0007067	mitosis
GO:0016044	cellular membrane organization
GO:0043038	amino acid activation
GO:0016043	cellular component organization
GO:0016042	lipid catabolic process
GO:0033015	tetrapyrrole catabolic process
GO:0033014	tetrapyrrole biosynthetic process
GO:0033013	tetrapyrrole metabolic process
GO:0032012	regulation of ARF protein signal transduction
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor
GO:0016681	oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor
GO:0016265	death
GO:0005666	DNA-directed RNA polymerase III complex
GO:0033764	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0051765	inositol tetrakisphosphate kinase activity
GO:0043254	regulation of protein complex assembly
GO:0051766	inositol trisphosphate kinase activity
GO:0030942	endoplasmic reticulum signal peptide binding
GO:0043492	ATPase activity, coupled to movement of substances
GO:0016462	pyrophosphatase activity
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0016469	proton-transporting two-sector ATPase complex
GO:0015930	glutamate synthase activity
GO:0015931	nucleobase, nucleoside, nucleotide and nucleic acid transport
GO:0015932	nucleobase, nucleoside, nucleotide and nucleic acid transmembrane transporter activity
GO:0015934	large ribosomal subunit
GO:0015936	coenzyme A metabolic process
GO:0015937	coenzyme A biosynthetic process
GO:0016311	dephosphorylation
GO:0015939	pantothenate metabolic process
GO:0034641	cellular nitrogen compound metabolic process
GO:0034645	cellular macromolecule biosynthetic process
GO:0043626	PCNA complex
GO:0008375	acetylglucosaminyltransferase activity
GO:0006220	pyrimidine nucleotide metabolic process
GO:0006221	pyrimidine nucleotide biosynthetic process
GO:0006222	UMP biosynthetic process
GO:0007264	small GTPase mediated signal transduction
GO:0006228	UTP biosynthetic process
GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
GO:0044455	mitochondrial membrane part
GO:0044454	nuclear chromosome part
GO:0044456	synapse part
GO:0044451	nucleoplasm part
GO:0044453	nuclear membrane part
GO:0044459	plasma membrane part
GO:0046168	glycerol-3-phosphate catabolic process
GO:0046165	alcohol biosynthetic process
GO:0046164	alcohol catabolic process
GO:0006614	SRP-dependent cotranslational protein targeting to membrane
GO:0030410	nicotianamine synthase activity
GO:0045892	negative regulation of transcription, DNA-dependent
GO:0030417	nicotianamine metabolic process
GO:0030414	peptidase inhibitor activity
GO:0030418	nicotianamine biosynthetic process
GO:0006084	acetyl-CoA metabolic process
GO:0006081	cellular aldehyde metabolic process
GO:0006082	organic acid metabolic process
GO:0005996	monosaccharide metabolic process
GO:0005992	trehalose biosynthetic process
GO:0005991	trehalose metabolic process
GO:0005622	intracellular
GO:0006534	cysteine metabolic process
GO:0045941	positive regulation of transcription, DNA-dependent
GO:0006536	glutamate metabolic process
GO:0003725	double-stranded RNA binding
GO:0003723	RNA binding
GO:0031329	regulation of cellular catabolic process
GO:0031328	positive regulation of cellular biosynthetic process
GO:0031327	negative regulation of cellular biosynthetic process
GO:0031326	regulation of cellular biosynthetic process
GO:0031325	positive regulation of cellular metabolic process
GO:0031324	negative regulation of cellular metabolic process
GO:0031323	regulation of cellular metabolic process
GO:0006826	iron ion transport
GO:0090304	nucleic acid metabolic process
GO:0090305	nucleic acid phosphodiester bond hydrolysis
GO:0008198	ferrous iron binding
GO:0031967	organelle envelope
GO:0004970	ionotropic glutamate receptor activity
GO:0035601	protein deacylation
GO:0009975	cyclase activity
GO:0030528	transcription regulator activity
GO:0030529	ribonucleoprotein complex
GO:0005751	mitochondrial respiratory chain complex IV
GO:0008199	ferric iron binding
GO:0022843	voltage-gated cation channel activity
GO:0005759	mitochondrial matrix
GO:0006401	RNA catabolic process
GO:0006402	mRNA catabolic process
GO:0006405	RNA export from nucleus
GO:0006406	mRNA export from nucleus
GO:0004484	mRNA guanylyltransferase activity
GO:0008113	peptide-methionine-(S)-S-oxide reductase activity
GO:0008119	thiopurine S-methyltransferase activity
GO:0004489	methylenetetrahydrofolate reductase (NADPH) activity
GO:0015928	fucosidase activity
GO:0004371	glycerone kinase activity
GO:0004372	glycine hydroxymethyltransferase activity
GO:0004806	triglyceride lipase activity
GO:0004807	triose-phosphate isomerase activity
GO:0004379	glycylpeptide N-tetradecanoyltransferase activity
GO:0004809	tRNA (guanine-N2-)-methyltransferase activity
GO:0005575	cellular_component
GO:0004573	mannosyl-oligosaccharide glucosidase activity
GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
GO:0004576	oligosaccharyl transferase activity
GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
GO:0005578	proteinaceous extracellular matrix
GO:0051169	nuclear transport
GO:0051168	nuclear export
GO:0008064	regulation of actin polymerization or depolymerization
GO:0008066	glutamate receptor activity
GO:0008060	ARF GTPase activator activity
GO:0008061	chitin binding
GO:0016868	intramolecular transferase activity, phosphotransferases
GO:0016866	intramolecular transferase activity
GO:0016863	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0009512	cytochrome b6f complex
GO:0016861	intramolecular oxidoreductase activity, interconverting aldoses and ketoses
GO:0016860	intramolecular oxidoreductase activity
GO:0009199	ribonucleoside triphosphate metabolic process
GO:0004713	protein tyrosine kinase activity
GO:0005375	copper ion transmembrane transporter activity
GO:0009190	cyclic nucleotide biosynthetic process
GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
GO:0005402	cation:sugar symporter activity
GO:0003924	GTPase activity
GO:0022891	substrate-specific transmembrane transporter activity
GO:0009607	response to biotic stimulus
GO:0009605	response to external stimulus
GO:0017144	drug metabolic process
GO:0004629	phospholipase C activity
GO:0004150	dihydroneopterin aldolase activity
GO:0004620	phospholipase activity
GO:0004156	dihydropteroate synthase activity
GO:0019321	pentose metabolic process
GO:0019320	hexose catabolic process
GO:0006333	chromatin assembly or disassembly
GO:0008483	transaminase activity
GO:0032318	regulation of Ras GTPase activity
GO:0051347	positive regulation of transferase activity
GO:0008649	rRNA methyltransferase activity
GO:0006884	cell volume homeostasis
GO:0032312	regulation of ARF GTPase activity
GO:0006886	intracellular protein transport
GO:0006887	exocytosis
GO:0008641	small protein activating enzyme activity
GO:0008643	carbohydrate transport
GO:0022892	substrate-specific transporter activity
GO:0008017	microtubule binding
GO:0008192	RNA guanylyltransferase activity
GO:0016787	hydrolase activity
GO:0016782	transferase activity, transferring sulfur-containing groups
GO:0016783	sulfurtransferase activity
GO:0016780	phosphotransferase activity, for other substituted phosphate groups
GO:0016788	hydrolase activity, acting on ester bonds
GO:0007050	cell cycle arrest
GO:0051205	protein insertion into membrane
GO:0032957	inositol trisphosphate metabolic process
GO:0032956	regulation of actin cytoskeleton organization
GO:0007059	chromosome segregation
GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
GO:0044042	glucan metabolic process
GO:0016071	mRNA metabolic process
GO:0016072	rRNA metabolic process
GO:0015075	ion transmembrane transporter activity
GO:0015077	monovalent inorganic cation transmembrane transporter activity
GO:0010556	regulation of macromolecule biosynthetic process
GO:0032559	adenyl ribonucleotide binding
GO:0016675	oxidoreductase activity, acting on a heme group of donors
GO:0032555	purine ribonucleotide binding
GO:0016679	oxidoreductase activity, acting on diphenols and related substances as donors
GO:0015079	potassium ion transmembrane transporter activity
GO:0001871	pattern binding
GO:0032553	ribonucleotide binding
GO:0030880	RNA polymerase complex
GO:0046578	regulation of Ras protein signal transduction
GO:0040029	regulation of gene expression, epigenetic
GO:0043244	regulation of protein complex disassembly
GO:0043241	protein complex disassembly
GO:0043243	positive regulation of protein complex disassembly
GO:0030955	potassium ion binding
GO:0016412	serine O-acyltransferase activity
GO:0016413	O-acetyltransferase activity
GO:0016410	N-acyltransferase activity
GO:0015672	monovalent inorganic cation transport
GO:0015671	oxygen transport
GO:0015927	trehalase activity
GO:0015926	glucosidase activity
GO:0015925	galactosidase activity
GO:0015924	mannosyl-oligosaccharide mannosidase activity
GO:0015923	mannosidase activity
GO:0046373	L-arabinose metabolic process
GO:0015929	hexosaminidase activity
GO:0030312	external encapsulating structure
GO:0034637	cellular carbohydrate biosynthetic process
GO:0043102	amino acid salvage
GO:0072511	divalent inorganic cation transport
GO:0006231	dTMP biosynthetic process
GO:0044462	external encapsulating structure part
GO:0044463	cell projection part
GO:0044464	cell part
GO:0016251	general RNA polymerase II transcription factor activity
GO:0006099	tricarboxylic acid cycle
GO:0006098	pentose-phosphate shunt
GO:0004721	phosphoprotein phosphatase activity
GO:0006091	generation of precursor metabolites and energy
GO:0006090	pyruvate metabolic process
GO:0006096	glycolysis
GO:0006094	gluconeogenesis
GO:0006529	asparagine biosynthetic process
GO:0006528	asparagine metabolic process
GO:0005618	cell wall
GO:0006520	cellular amino acid metabolic process
GO:0042219	cellular modified amino acid catabolic process
GO:0006526	arginine biosynthetic process
GO:0006525	arginine metabolic process
GO:0003735	structural constituent of ribosome
GO:0004332	fructose-bisphosphate aldolase activity
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)
GO:0045087	innate immune response
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000271	polysaccharide biosynthetic process
GO:0005960	glycine cleavage complex
GO:0000272	polysaccharide catabolic process
GO:0022857	transmembrane transporter activity
GO:0005761	mitochondrial ribosome
GO:0006419	alanyl-tRNA aminoacylation
GO:0006418	tRNA aminoacylation for protein translation
GO:0006417	regulation of translation
GO:0006140	regulation of nucleotide metabolic process
GO:0006415	translational termination
GO:0006414	translational elongation
GO:0006413	translational initiation
GO:0006412	translation
GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity
GO:0004497	monooxygenase activity
GO:0043189	H4/H2A histone acetyltransferase complex
GO:0009452	RNA capping
GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
GO:0004811	tRNA dimethylallyltransferase activity
GO:0042445	hormone metabolic process
GO:0004813	alanine-tRNA ligase activity
GO:0004812	aminoacyl-tRNA ligase activity
GO:0004363	glutathione synthase activity
GO:0004814	arginine-tRNA ligase activity
GO:0004817	cysteine-tRNA ligase activity
GO:0031975	envelope
GO:0005542	folic acid binding
GO:0005543	phospholipid binding
GO:0005544	calcium-dependent phospholipid binding
GO:0004560	alpha-L-fucosidase activity
GO:0004563	beta-N-acetylhexosaminidase activity
GO:0004565	beta-galactosidase activity
GO:0004568	chitinase activity
GO:0008079	translation termination factor activity
GO:0051119	sugar transmembrane transporter activity
GO:0008076	voltage-gated potassium channel complex
GO:0004386	helicase activity
GO:0016892	endoribonuclease activity, producing 3'-phosphomonoesters
GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters
GO:0016896	exoribonuclease activity, producing 5'-phosphomonoesters
GO:0046961	proton-transporting ATPase activity, rotational mechanism
GO:0001510	RNA methylation
GO:0009074	aromatic amino acid family catabolic process
GO:0031461	cullin-RING ubiquitin ligase complex
GO:0009076	histidine family amino acid biosynthetic process
GO:0042995	cell projection
GO:0009070	serine family amino acid biosynthetic process
GO:0010033	response to organic substance
GO:0009072	aromatic amino acid family metabolic process
GO:0009073	aromatic amino acid family biosynthetic process
GO:0000015	phosphopyruvate hydratase complex
GO:0018205	peptidyl-lysine modification
GO:0005381	iron ion transmembrane transporter activity
GO:0018024	histone-lysine N-methyltransferase activity
GO:0003935	GTP cyclohydrolase II activity
GO:0008253	5'-nucleotidase activity
GO:0008252	nucleotidase activity
GO:0008250	oligosaccharyltransferase complex
GO:0051020	GTPase binding
GO:0051179	localization
GO:0009162	deoxyribonucleoside monophosphate metabolic process
GO:0023033	signal transduction
GO:0044267	cellular protein metabolic process
GO:0044264	cellular polysaccharide metabolic process
GO:0044265	cellular macromolecule catabolic process
GO:0044262	cellular carbohydrate metabolic process
GO:0044260	cellular macromolecule metabolic process
GO:0009654	oxygen evolving complex
GO:0000702	oxidized base lesion DNA N-glycosylase activity
GO:0009678	hydrogen-translocating pyrophosphatase activity
GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
GO:0004638	phosphoribosylaminoimidazole carboxylase activity
GO:0004146	dihydrofolate reductase activity
GO:0004635	phosphoribosyl-AMP cyclohydrolase activity
GO:0004634	phosphopyruvate hydratase activity
GO:0004637	phosphoribosylamine-glycine ligase activity
GO:0004636	phosphoribosyl-ATP diphosphatase activity
GO:0019310	inositol catabolic process
GO:0019318	hexose metabolic process
GO:0019319	hexose biosynthetic process
GO:0006467	protein thiol-disulfide exchange
GO:0016759	cellulose synthase activity
GO:0046937	phytochelatin metabolic process
GO:0051336	regulation of hydrolase activity
GO:0008652	cellular amino acid biosynthetic process
GO:0006891	intra-Golgi vesicle-mediated transport
GO:0006890	retrograde vesicle-mediated transport, Golgi to ER
GO:0006897	endocytosis
GO:0043666	regulation of phosphoprotein phosphatase activity
GO:0008654	phospholipid biosynthetic process
GO:0010498	proteasomal protein catabolic process
GO:0051338	regulation of transferase activity
GO:0019001	guanyl nucleotide binding
GO:0015267	channel activity
GO:0031966	mitochondrial membrane
GO:0019008	molybdopterin synthase complex
GO:0046983	protein dimerization activity
GO:0071103	DNA conformation change
GO:0016796	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0016791	phosphatase activity
GO:0016790	thiolester hydrolase activity
GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0016798	hydrolase activity, acting on glycosyl bonds
GO:0070279	vitamin B6 binding
GO:0007047	cellular cell wall organization
GO:0046556	alpha-N-arabinofuranosidase activity
GO:0032968	positive regulation of transcription elongation from RNA polymerase II promoter
GO:0007049	cell cycle
GO:0052592	oxidoreductase activity, acting on CH or CH2 groups, with an iron-sulfur protein as acceptor
GO:0051248	negative regulation of protein metabolic process
GO:0000808	origin recognition complex
GO:0010564	regulation of cell cycle process
GO:0051247	positive regulation of protein metabolic process
GO:0032561	guanyl ribonucleotide binding
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors
GO:0034243	regulation of transcription elongation from RNA polymerase II promoter
GO:0008839	dihydrodipicolinate reductase activity
GO:0008837	diaminopimelate epimerase activity
GO:0016279	protein-lysine N-methyltransferase activity
GO:0004618	phosphoglycerate kinase activity
GO:0006479	protein methylation
GO:0033692	cellular polysaccharide biosynthetic process
GO:0016407	acetyltransferase activity
GO:0034404	nucleobase, nucleoside and nucleotide biosynthetic process
GO:0046365	monosaccharide catabolic process
GO:0046364	monosaccharide biosynthetic process
GO:0030983	mismatched DNA binding
GO:0072528	pyrimidine-containing compound biosynthetic process
GO:0034621	cellular macromolecular complex subunit organization
GO:0034623	cellular macromolecular complex disassembly
GO:0034622	cellular macromolecular complex assembly
GO:0072521	purine-containing compound metabolic process
GO:0072522	purine-containing compound biosynthetic process
GO:0072524	pyridine-containing compound metabolic process
GO:0072525	pyridine-containing compound biosynthetic process
GO:0072527	pyrimidine-containing compound metabolic process
GO:0005811	lipid particle
GO:0005815	microtubule organizing center
GO:0016538	cyclin-dependent protein kinase regulator activity
GO:0016248	channel inhibitor activity
GO:0016247	channel regulator activity
GO:0016530	metallochaperone activity
GO:0061135	endopeptidase regulator activity
GO:0061134	peptidase regulator activity
GO:0017111	nucleoside-triphosphatase activity
GO:0031123	RNA 3'-end processing
GO:0010817	regulation of hormone levels
GO:0042221	response to chemical stimulus
GO:0034754	cellular hormone metabolic process
GO:0005971	ribonucleoside-diphosphate reductase complex
GO:0005975	carbohydrate metabolic process
GO:0006558	L-phenylalanine metabolic process
GO:0005976	polysaccharide metabolic process
GO:0003700	sequence-specific DNA binding transcription factor activity
GO:0046903	secretion
GO:0003702	RNA polymerase II transcription factor activity
GO:0006555	methionine metabolic process
GO:0006553	lysine metabolic process
GO:0006551	leucine metabolic process
GO:0055072	iron ion homeostasis
GO:0006399	tRNA metabolic process
GO:0048523	negative regulation of cellular process
GO:0048522	positive regulation of cellular process
GO:0006396	RNA processing
GO:0006397	mRNA processing
GO:0006777	Mo-molybdopterin cofactor biosynthetic process
GO:0006772	thiamine metabolic process
GO:0000245	spliceosome assembly
GO:0006771	riboflavin metabolic process
GO:0048583	regulation of response to stimulus
GO:0006778	porphyrin metabolic process
GO:0006779	porphyrin biosynthetic process
GO:0060089	molecular transducer activity
GO:0008104	protein localization
GO:0047800	cysteamine dioxygenase activity
GO:0072351	tricarboxylic acid biosynthetic process
GO:0072350	tricarboxylic acid metabolic process
GO:0030054	cell junction
GO:0005779	integral to peroxisomal membrane
GO:0005778	peroxisomal membrane
GO:0005773	vacuole
GO:0005777	peroxisome
GO:0055086	nucleobase, nucleoside and nucleotide metabolic process
GO:0006177	GMP biosynthetic process
GO:0031903	microbody membrane
GO:0006171	cAMP biosynthetic process
GO:0070071	proton-transporting two-sector ATPase complex assembly
GO:0006606	protein import into nucleus
GO:0007600	sensory perception
GO:0006605	protein targeting
GO:0045184	establishment of protein localization
GO:0045185	maintenance of protein location
GO:0032268	regulation of cellular protein metabolic process
GO:0009288	bacterial-type flagellum
GO:0042451	purine nucleoside biosynthetic process
GO:0009451	RNA modification
GO:0042455	ribonucleoside biosynthetic process
GO:0004826	phenylalanine-tRNA ligase activity
GO:0004827	proline-tRNA ligase activity
GO:0004820	glycine-tRNA ligase activity
GO:0004828	serine-tRNA ligase activity
GO:0000398	nuclear mRNA splicing, via spliceosome
GO:0004555	alpha,alpha-trehalase activity
GO:0004556	alpha-amylase activity
GO:0004550	nucleoside diphosphate kinase activity
GO:0006753	nucleoside phosphate metabolic process
GO:0004559	alpha-mannosidase activity
GO:0022607	cellular component assembly
GO:0016881	acid-amino acid ligase activity
GO:0016880	acid-ammonia (or amide) ligase activity
GO:0016882	cyclo-ligase activity
GO:0009067	aspartate family amino acid biosynthetic process
GO:0009066	aspartate family amino acid metabolic process
GO:0009065	glutamine family amino acid catabolic process
GO:0009064	glutamine family amino acid metabolic process
GO:0010024	phytochromobilin biosynthetic process
GO:0009069	serine family amino acid metabolic process
GO:0004047	aminomethyltransferase activity
GO:0004045	aminoacyl-tRNA hydrolase activity
GO:0055029	nuclear DNA-directed RNA polymerase complex
GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GO:0006952	defense response
GO:0006950	response to stress
GO:0008716	D-alanine-D-alanine ligase activity
GO:0006955	immune response
GO:0042440	pigment metabolic process
GO:0048015	phosphatidylinositol-mediated signaling
GO:0048017	inositol lipid-mediated signaling
GO:0001671	ATPase activator activity
GO:0044275	cellular carbohydrate catabolic process
GO:0009664	plant-type cell wall organization
GO:0044271	cellular nitrogen compound biosynthetic process
GO:0044270	cellular nitrogen compound catabolic process
GO:0044272	sulfur compound biosynthetic process
GO:0005743	mitochondrial inner membrane
GO:0004819	glutamine-tRNA ligase activity
GO:0004609	phosphatidylserine decarboxylase activity
GO:0004607	phosphatidylcholine-sterol O-acyltransferase activity
GO:0008824	cyanate hydratase activity
GO:0004601	peroxidase activity
GO:0004602	glutathione peroxidase activity
GO:0032806	carboxy-terminal domain protein kinase complex
GO:0032774	RNA biosynthetic process
GO:0008509	anion transmembrane transporter activity
GO:0009206	purine ribonucleoside triphosphate biosynthetic process
GO:0045426	quinone cofactor biosynthetic process
GO:0009719	response to endogenous stimulus
GO:0006476	protein deacetylation
GO:0015276	ligand-gated ion channel activity
GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity
GO:0032970	regulation of actin filament-based process
GO:0019941	modification-dependent protein catabolic process
GO:0006400	tRNA modification
GO:0051258	protein polymerization
GO:0010576	metalloenzyme regulator activity
GO:0051253	negative regulation of RNA metabolic process
GO:0051252	regulation of RNA metabolic process
GO:0051254	positive regulation of RNA metabolic process
GO:0008534	oxidized purine base lesion DNA N-glycosylase activity
GO:0016655	oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor
GO:0016651	oxidoreductase activity, acting on NADH or NADPH
GO:0070469	respiratory chain
GO:0019307	mannose biosynthetic process
GO:0042054	histone methyltransferase activity
GO:0051053	negative regulation of DNA metabolic process
GO:0032592	integral to mitochondrial membrane
GO:0043461	proton-transporting ATP synthase complex assembly
GO:0044446	intracellular organelle part
GO:0043467	regulation of generation of precursor metabolites and energy
GO:0016433	rRNA (adenine) methyltransferase activity
GO:0006733	oxidoreduction coenzyme metabolic process
GO:0015698	inorganic anion transport
GO:0030337	DNA polymerase processivity factor activity
GO:0046351	disaccharide biosynthetic process
GO:0046356	acetyl-CoA catabolic process
GO:0009063	cellular amino acid catabolic process
GO:0046429	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity
GO:0051649	establishment of localization in cell
GO:0051641	cellular localization
GO:0042180	cellular ketone metabolic process
GO:0009174	pyrimidine ribonucleoside monophosphate biosynthetic process
GO:0005801	cis-Golgi network
GO:0008170	N-methyltransferase activity
GO:0009176	pyrimidine deoxyribonucleoside monophosphate metabolic process
GO:0033176	proton-transporting V-type ATPase complex
GO:0046519	sphingoid metabolic process
GO:0046516	hypusine metabolic process
GO:0015669	gas transport
GO:0009628	response to abiotic stimulus
GO:0016894	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters
GO:0005672	transcription factor TFIIA complex
GO:0016895	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0001076	RNA polymerase II transcription factor binding transcription factor activity
GO:0001071	nucleic acid binding transcription factor activity
GO:0009075	histidine family amino acid metabolic process
GO:0005945	6-phosphofructokinase complex
GO:0010035	response to inorganic substance
GO:0006549	isoleucine metabolic process
GO:0006548	histidine catabolic process
GO:0005942	phosphatidylinositol 3-kinase complex
GO:0006545	glycine biosynthetic process
GO:0006544	glycine metabolic process
GO:0006547	histidine metabolic process
GO:0043044	ATP-dependent chromatin remodeling
